ticker,marketCap,trailingPE,forwardPE,priceToSalesTrailing12Months,priceToBook,revenueGrowth,earningsGrowth,grossMargins,profitMargins,returnOnAssets,returnOnEquity,currentRatio,debtToEquity,freeCashflow,ebitda
IPG,12030179328,11.862963,11.160278,1.2790986,3.136506,-0.001,-0.162,0.22329001,0.10971,0.05432,0.27183,1.065,110.001,751487488.0,1744199936.0
INVH,20907833344,43.756413,44.324677,8.299414,2.0842748,0.083,-0.459,0.5891,0.18931,0.023120001,0.047020003,3.618,85.167,1082929280.0,1394653056.0
IQV,43148587008,30.778934,19.072523,2.8471518,6.426729,0.023,0.239,0.35097,0.0939,0.05025,0.22837,0.849,202.458,1639624960.0,2779000064.0
JBL,14328103936,11.317204,12.617383,0.49607396,8.369227,-0.177,0.019,0.092650004,0.048060004,0.048839998,0.60295,1.086,187.507,2218374912.0,2132999936.0
JKHY,13571386368,35.586998,29.449366,6.125535,7.361759,0.047,0.031,0.41347,0.17233999,0.10735,0.22128999,0.997,11.377,335345376.0,551337024.0
J,17879285760,28.32677,18.7859,1.0549116,2.702246,0.011,-0.092,0.213,0.03717,0.049829997,0.093260005,1.141,47.856,1148129280.0,1476304000.0
JCI,51731005440,32.537815,20.432718,1.9209434,3.2396255,0.014,-0.052,0.32933998,0.06019,0.0421,0.1042,0.955,67.818,2111124992.0,3814000128.0
JNPR,12906481664,55.225353,20.316063,2.530137,2.8330925,-0.168,0.429,0.58556,0.04581,0.02454,0.05277,1.685,40.227,496837504.0,547600000.0
K,27935262720,32.290836,81.86869,2.1788676,8.3894005,-0.047,-0.034,0.34443,0.07074,0.05696,0.22856002,0.727,188.299,488500000.0,1896000000.0
KVUE,41597493248,38.105263,17.658535,2.6880448,4.0865474,-0.003,-0.87,0.57512003,0.07231,0.069699995,0.10548,0.991,84.555,1988749952.0,3627000064.0
KDP,50093961216,23.679487,17.845411,3.3258507,2.0261078,0.035,0.058,0.55816,0.14474,0.041939996,0.08723,0.509,67.76,592875008.0,4228000000.0
